# Depth (Er)	r	theta (deg)	alpha (deg)	tx wannier (Er)	ty wannier (Er)	td wannier (Er)	wannier integral (Er)	tx bs (Er)	ty bs (Er)	td bs(Er)	mean 0->d1	gap 0->d1	bw d1	mean 0->d2	gap 0->d2	bw d2	mean 0->d3	gap 0->d3	bw d3
2.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.257655646022939454e-03	7.384847239441489145e-03	3.875528245154200426e-05	5.826214295508570729e+00	4.969377501676697229e-03	3.791978805754804126e-03	3.853390464150004829e-05	1.152960144318257107e+01	1.074296482833453403e+01	1.282325820462655974e+00	1.256885366043120200e+01	1.220843573149464234e+01	1.243898758496211343e+00	1.345103033137542070e+01	1.280677020952862755e+01	1.762705440543536062e+00
2.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	5.489398817984988271e-05	3.598112652730536820e-03	9.284981641176356324e-06	6.675305984306475260e+00	2.136733060535711895e-03	1.570955283047783309e-03	8.953096150049423205e-06	1.396085757350373413e+01	1.328845285472270810e+01	1.200717288251690551e+00	1.484264081470677077e+01	1.452514576641441657e+01	6.099933051271734241e-01	1.554973207645824118e+01	1.508430085967845891e+01	1.228070346479893438e+00
3.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.972441102124400966e-04	1.843353014558792372e-03	2.467238018104440346e-06	7.437722935361318122e+00	9.772443573262353834e-04	6.948537590107186929e-04	2.286292953562231445e-06	1.613886521625128623e+01	1.562445990783566607e+01	1.031860004934594954e+00	1.692537487746425739e+01	1.667351798492864035e+01	4.447974059041612804e-01	1.748949184748818908e+01	1.712139997903310729e+01	9.000172110934825387e-01
3.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	2.013633721310837906e-04	9.825367904553270609e-04	7.159799189655141192e-07	8.135947342007767702e+00	4.698682381663878919e-04	3.240057081675810392e-04	6.262003962216339953e-07	1.806372179058290328e+01	1.771738859766933416e+01	7.576891336848454728e-01	1.882026096383675906e+01	1.862861275557889940e+01	3.504597091774321882e-01	1.931411890369357920e+01	1.898397354872486176e+01	6.900243903019589453e-01
4.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.539872202674823286e-04	5.409382154562998590e-04	2.238684057890626906e-07	8.784058061152226315e+00	2.354749742651295660e-04	1.578191285759973032e-04	1.761474115306339849e-07	1.981219601195973112e+01	1.959128121595043481e+01	4.664121685246200855e-01	2.053811485827189642e+01	2.043333102735610751e+01	2.008957282744603390e-01	2.103251529217288152e+01	2.080577742107348627e+01	4.550546395870664895e-01
4.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.072700639949485492e-04	3.060198767499138655e-04	7.459869226960092523e-08	9.391592133515896279e+00	1.222149942056497112e-04	7.975090142458288655e-05	4.639104663485422119e-08	2.142772297360264133e+01	2.128951845659407738e+01	2.855249195547369112e-01	2.213375131072673696e+01	2.207576407014601472e+01	1.121804013349212426e-01	2.263697367160476048e+01	2.249386487394966849e+01	2.870002559819795351e-01
5.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	7.188727939552854796e-05	1.772039410297832486e-04	2.626019090357784189e-08	9.965378202743927716e+00	6.537308926970889292e-05	4.158855509122207431e-05	3.905710489185074130e-09	2.293796162694443908e+01	2.285208557787309758e+01	1.751541507814540211e-01	2.363181859718402222e+01	2.359909663623405507e+01	6.377577194601435906e-02	2.414518422027568789e+01	2.405488594608957698e+01	1.810389157219507439e-01
5.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	4.737290906781719115e-05	1.047185011539686209e-04	9.696432158106825829e-09	1.051051080286620376e+01	3.589186831326777669e-05	2.229603328127160999e-05	9.587636598702709012e-09	2.436263567678078346e+01	2.430923636668046939e+01	1.080980766460122311e-01	2.504918350671965044e+01	2.503035219819788182e+01	3.691174977634581467e-02	2.557226914577792698e+01	2.551505215706289675e+01	1.146889801502055661e-01
6.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	3.102084093501542733e-05	6.300488312897780578e-05	3.733904779429069491e-09	1.103091342841106126e+01	2.016736780117555500e-05	1.224117248358196249e-05	1.480783189751651296e-08	2.571581726519324462e+01	2.568245243406639133e+01	6.724410325632135255e-02	2.639816359240393240e+01	2.638712514407349730e+01	2.172780987153899446e-02	2.693025045781633509e+01	2.689375977349790858e+01	7.312796630731455139e-02
6.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	2.029567881741385104e-05	3.852082261373919496e-05	1.492394829328623262e-09	1.152968534607996531e+01	1.156375336999054815e-05	6.868416819090245734e-06	1.680756374963093824e-08	2.700788849972900607e+01	2.698689724202408158e+01	4.219592891317702765e-02	2.768811468479320226e+01	2.768153435250923877e+01	1.299235801826981174e-02	2.822857884405750895e+01	2.820513060924452375e+01	4.698068705680213952e-02
7.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.330755697058741126e-05	2.389476576415190627e-05	6.166637998231071055e-10	1.200932611671821348e+01	6.755741674068947364e-06	3.923215876037609504e-06	1.629094402238150108e-08	2.824679665339949963e+01	2.823348578896534278e+01	2.671538946073681586e-02	2.892636900107127573e+01	2.892238559651562824e+01	7.882551000733428737e-03	2.947473915548043166e+01	2.945955149274921681e+01	3.042394110508439553e-02
7.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	8.759652929204677884e-06	1.501835433769948904e-05	2.625535310929522921e-10	1.247188689438895537e+01	4.018403101624292567e-06	2.274575141798362149e-06	1.693218665927906375e-08	2.943881881911334375e+01	2.943030845041782939e+01	1.706451262573338568e-02	3.011881642609711918e+01	3.011637101616958390e+01	4.847046285625822293e-03	3.067474837707091240e+01	3.066483194737802620e+01	1.986118609839593319e-02
8.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	5.794218185774210712e-06	9.553607440895126829e-06	1.148517560087732604e-10	1.291907580762632790e+01	2.419838870923061644e-06	1.345444069005994822e-06	1.721264857317168773e-08	3.058903784858146935e+01	3.058355159519698674e+01	1.099433811641148395e-02	3.127028273828801019e+01	3.126876206403152736e+01	3.017792840076083394e-03	3.183352376888738533e+01	3.182699768481077029e+01	1.306887489380059719e-02
8.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	3.853504353875928256e-06	6.144971553797925440e-06	5.149859772076402808e-11	1.335233342423908631e+01	1.481910586999474547e-06	8.056169967236674612e-07	1.827988107693141739e-08	3.170165127699172203e+01	3.169808576561725744e+01	7.142600032281620770e-03	3.238478642322812107e+01	3.238382951614716632e+01	1.900719432072150994e-03	3.295514673330592359e+01	3.295081871907679272e+01	8.666016709504731352e-03
9.000000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	2.577426645906397752e-06	3.993165347408181708e-06	2.361461502941642448e-11	1.377288808756853555e+01	9.110342037580224095e-07	4.867467846322425656e-07	1.578227500423357021e-08	3.278018074586206154e+01	3.277784525106184077e+01	4.677467682384417458e-03	3.346571934702116380e+01	3.346511055392368661e+01	1.210089723080898239e-03	3.404305200858714642e+01	3.404016034993451001e+01	5.789373264747155190e-03
